,distance,journal_entropy,kw_entroy,oecd_entroy,path,topic_id,wc_entropy,wg_entropy,topic__title
35,109.54695863629009,-1.3862943611198906,-9459.26183372103,-85.9502503894332,4.084745762711864,11758,-2.772588722239781,-57.02151887608922,"{rainfall, monsoon, rain}"
36,107.92029406472452,-1522.1512085096028,-24936.83810902236,-1942.1983999289157,4.063934426229508,11727,-1687.1202374828567,-1526.3100915929626,"{coastal, mangrove, storm}"
37,21.021899252715993,-693.1471805599468,-14786.826474446563,-812.3684956162577,3.0919145690312737,11754,-731.9634226713039,-724.4907976566067,"{record, glacial, last}"
38,90.84952377695286,-1128.4436099515851,-20337.630402571758,-1211.6212716187729,4.316738816738817,11773,-1170.0324407851786,-1505.6240844432018,"{scenario, future, project}"
39,131.1662784491451,-2.772588722239781,-5034.3811543012625,-27.725887222397812,3.685064935064935,11714,-2.772588722239781,-11.090354888959125,"{runoff, catchment, streamflow}"
40,75.06114172590829,-1.3862943611198906,-2703.280268580786,-44.36141955583647,3.8373015873015874,11719,-1.3862943611198906,-229.37843723717276,"{ozone, stratospheric, tropospheric}"
41,86.66335549314554,-0.0,-9383.565994069959,-160.8101458899075,3.697253068381064,11782,-0.0,-22.364159848092005,"{delta, value, isotope}"
42,101.15906009046006,-1.3862943611198906,-3622.189142263402,-70.70101241711436,4.469409282700422,11715,-1.3862943611198906,-1.3862943611198906,"{thermal, solar, tolerance}"
43,43.01612932985251,-860.888798255454,-16276.548826837277,-981.4964076728849,4.39124487004104,11735,-948.2253430060074,-860.888798255454,"{research, review, development}"
44,32.899214272737545,-3081.732364769356,-63217.99565454873,-3691.7018836621096,4.337853107344633,11742,-3292.4491076595627,-3095.595308380555,"{sediment, erosion, deposit}"
45,40.82447883386916,-1788.3197258446007,-31588.645353817283,-2133.5070217634425,4.879320445225542,11743,-1972.6968758735325,-1829.5687586046056,"{technology, cc, development}"
46,105.68576352543735,-0.0,-23656.33166346014,-101.19948836175203,3.5320020481310803,11798,-0.0,-98.29765370285193,"{specie, distribution, range}"
47,70.51404864678723,-0.0,-3762.5175687433316,-22.18070977791825,4.542207792207792,11710,-0.0,-0.0,"{stress, response, gene}"
48,109.99289228321344,-0.0,-3996.17592375891,-67.92842369487457,5.144808743169399,11756,-0.0,-1.3862943611198906,"{fuel, combustion, engine}"
49,94.68204411774394,-0.0,-5579.065592284845,-29.112181583517703,3.551412429378531,11716,-0.0,-13.523145537608112,"{ecosystem, net, respiration}"
50,259.4024661506139,-0.0,-5981.5120612835735,-36.043653389117146,4.226122448979591,11718,-0.0,-1.3862943611198906,"{wetland, marsh, restoration}"
51,147.3496997822958,-0.0,-10135.773481947712,-191.30862183454516,3.882524839275278,11720,-1.3862943611198906,-34.84080909817102,"{disease, health, vector}"
52,193.33393881287208,-1.3862943611198906,-3347.4652045579933,-41.588830833596695,3.5482174167153713,11721,-1.3862943611198906,-34.84080909817101,"{permafrost, arctic, thaw}"
53,96.81815697361876,-4.1588830833596715,-5786.567804509377,-15.249237972318797,3.7641196013289036,11722,-4.1588830833596715,-4.1588830833596715,"{root, fine, shoot}"
54,91.1576189742586,-2.772588722239781,-5056.222066005593,-116.44872633407087,4.475938656795346,11723,-2.772588722239781,-21.31766356056291,"{city, plan, local}"
55,25.19119270342171,-1.3862943611198906,-3359.6499954708684,-131.6979643063897,4.672727272727273,11724,-1.3862943611198906,-1.3862943611198906,"{building, construction, design}"
56,13.915122849252711,-1.3862943611198906,-2587.8029967311104,-6.931471805599453,2.680745341614907,11725,-1.3862943611198906,-1.3862943611198906,"{biochar, amendment, application}"
57,9.279836926839645,-3318.7887005208386,-60193.68507525894,-3607.137927633771,3.8969759097898513,11726,-3465.7359027995353,-3318.7887005208386,"{reaction, process, sorbent}"
58,11.171978255406396,-1928.335456317699,-40483.88340589753,-2487.0120838490016,3.8531986531986533,11730,-2182.0273244026193,-2010.2923686286124,"{fish, fishery, marine}"
59,120.20057492446243,-1387.6806554809841,-22321.974247942766,-1677.416176955026,4.638241525423729,11731,-1538.7867408430402,-1387.6806554809841,"{risk, hazard, disaster}"
60,74.91731009958646,-0.0,-7300.503390722574,-30.498475944637594,4.117094552285535,11732,-0.0,-1.3862943611198906,"{reservoir, storage, injection}"
61,162.4444262515135,-0.0,-7552.577574639895,-74.85989550047404,5.033362598770852,11733,-0.0,-1.3862943611198906,"{coal, power, combustion}"
62,60.77611317221991,-0.0,-5715.057950008414,-62.383246250395004,3.214714714714715,11734,-0.0,-0.0,"{adsorption, capacity, adsorbent}"
63,215.89165417694676,-2188.958796208218,-40738.82605800925,-2346.9963533758823,3.8476595744680853,11737,-2247.1831593752486,-2295.730564081201,"{snow, cover, depth}"
64,96.75434630203877,-1515.219736704004,-24396.781598132595,-1659.3943502604689,4.157681940700809,11738,-1570.6715111487952,-1530.1291766027307,"{degree, day, high}"
65,132.25766945829207,-0.0,-2494.8399683358107,-13.862943611198906,3.953209109730849,11739,-0.0,-31.544972232166693,"{land, area, agricultural}"
66,116.6546058511472,-970.4060527839257,-18104.024592867165,-1161.7146746184608,4.511674118231495,11741,-1125.6710212293456,-975.9512302284053,"{production, product, food}"
67,73.1537305484731,-2908.4455696293835,-62235.792548663114,-2950.0344004629787,3.3596491228070176,11744,-2936.171456851779,-2913.9907470738626,"{soc, stock, soil}"
68,4.733123903804745,-2908.4455696293844,-75086.62877901425,-2986.078053852098,3.7154255319148937,11745,-2938.9440455740196,-2908.4455696293844,"{leaf, photosynthetic, photosynthesis}"
69,200.39901800751858,-1.3862943611198906,-5286.211419617755,-54.06548008367568,4.632323232323232,11746,-1.3862943611198906,-15.772486116083346,"{china, region, province}"
