dis_share,doctopic__doc__wc__oecd,primary_wg,title
63.4639542001046,Engineering and Technology,1,"{permafrost, thaw, layer}"
105.906422771296,Engineering and Technology,2,"{plant, seed, stress}"
117.187525377698,Engineering and Technology,3,"{policy, tax, sector}"
33.9962965876256,Engineering and Technology,2,"{population, size, habitat}"
263.754009770855,Engineering and Technology,3,"{power, generation, electricity}"
43.0356927533343,Engineering and Technology,1,"{precipitation, annual, moisture}"
266.297402979481,Engineering and Technology,2,"{process, membrane, solvent}"
183.113185538242,Engineering and Technology,2,"{production, food, farm}"
34.5810662931165,Engineering and Technology,2,"{rainfall, monsoon, rain}"
105.52439350581,Engineering and Technology,2,"{rate, litter, decomposition}"
27.9363081888607,Engineering and Technology,1,"{record, glacial, late}"
322.574924316311,Engineering and Technology,2,"{research, social, issue}"
31.191744021236,Engineering and Technology,2,"{rice, paddy, field}"
97.4138573007247,Engineering and Technology,2,"{risk, disaster, vulnerability}"
64.7669371151883,Engineering and Technology,2,"{river, basin, flow}"
14.6306670590029,Engineering and Technology,2,"{root, fine, litter}"
46.0842106006332,Engineering and Technology,2,"{runoff, catchment, hydrological}"
156.630106912689,Engineering and Technology,1,"{scale, spatial, variability}"
107.996749011144,Engineering and Technology,2,"{scenario, future, project}"
50.7736680532829,Engineering and Technology,1,"{sea, level, rise}"
41.35540101296,Engineering and Technology,2,"{sediment, erosion, core}"
78.7048444456724,Engineering and Technology,2,"{site, elevation, high}"
43.650222580866,Engineering and Technology,1,"{snow, cover, winter}"
17.3336749771255,Engineering and Technology,3,"{soc, stock, soil}"
56.7997688291463,Engineering and Technology,2,"{soil, moisture, microbial}"
136.588240060381,Engineering and Technology,1,"{solar, radiation, irradiance}"
22.13779042663,Engineering and Technology,2,"{specie, distribution, habitat}"
207.640778781633,Engineering and Technology,2,"{storage, reservoir, injection}"
236.774442525992,Engineering and Technology,2,"{system, performance, design}"
86.8072223015112,Engineering and Technology,1,"{temperature, warm, air}"
18.7507674604316,Engineering and Technology,2,"{tree, ring, stand}"
59.4187562072011,Engineering and Technology,1,"{trend, station, significant}"
116.26793452223,Engineering and Technology,1,"{uncertainty, estimate, projection}"
97.627730632485,Engineering and Technology,2,"{urban, city, urbanization}"
50.0951029377338,Engineering and Technology,2,"{vegetation, ndvi, index}"
206.327173011363,Engineering and Technology,3,"{vehicle, electric, transport}"
161.958678051903,Engineering and Technology,3,"{waste, landfill, treatment}"
117.26812363163,Engineering and Technology,2,"{water, resource, irrigation}"
34.1770482919281,Engineering and Technology,2,"{wetland, marsh, habitat}"
119.009191989757,Engineering and Technology,1,"{wind, speed, turbine}"
77.6472406676151,Engineering and Technology,1,"{year, season, period}"
2.72301887661591,Humanities,2,"{adaptation, vulnerability, farmer}"
0.589684033475257,Humanities,2,"{adsorption, capacity, adsorbent}"
0.533181477858298,Humanities,1,"{aerosol, forcing, radiative}"
1.71384013258691,Humanities,1,"{arctic, warm, tundra}"
3.2639845802285,Humanities,2,"{area, region, distribution}"
0.27950602171044,Humanities,3,"{biochar, application, amendment}"
0.289232526080379,Humanities,2,"{biomass, aboveground, bioenergy}"
12.2728912462053,Humanities,2,"{building, design, construction}"
2.83981892954121,Humanities,1,"{cal, pollen, holocene}"
1.82712974906893,Humanities,3,"{carbon, low, sink}"
4.17157234745226,Humanities,3,"{cement, material, concrete}"
0.0548009674605992,Humanities,1,"{ch4, oxidation, emission}"
3.68814142054281,Humanities,2,"{change, climatic, response}"
1.95178620011402,Humanities,2,"{china, province, chinese}"
4.18445622505528,Humanities,1,"{climate, future, global}"
0.372272522564244,Humanities,1,"{cloud, feedback, radiative}"
0.526619846046677,Humanities,1,"{co2, mol, concentration}"
0.450065860167643,Humanities,3,"{coal, combustion, technology}"
2.24128243289616,Humanities,2,"{community, microbial, composition}"
0.408633544302666,Humanities,2,"{coral, reef, bleaching}"
1.91048754742793,Humanities,3,"{cost, price, technology}"
3.58325131643196,Humanities,3,"{country, develop, international}"
0.63652376808101,Humanities,2,"{crop, yield, wheat}"
2.27118377626273,Humanities,1,"{data, use, satellite}"
1.05776186830895,Humanities,1,"{degree, day, latitude}"
1.05304516163544,Humanities,1,"{delta, isotope, value}"
0.548241111819351,Humanities,2,"{drought, stress, index}"
1.22051250296401,Humanities,2,"{ecosystem, terrestrial, net}"
2.52249860895835,Humanities,3,"{emission, ghg, reduction}"
4.23929196481659,Humanities,3,"{energy, consumption, demand}"
4.51510937636629,Humanities,2,"{environmental, impact, life}"
2.14346327751143,Humanities,2,"{extreme, event, weather}"
0.580542518384462,Humanities,2,"{fire, burn, wildfire}"
1.35989855436445,Humanities,2,"{flood, flooding, damage}"
0.244864050068657,Humanities,1,"{flux, measurement, surface}"
0.712006712803786,Humanities,2,"{forest, stand, tropical}"
0.842389193163876,Humanities,3,"{fuel, fossil, engine}"
0.677653336260267,Humanities,1,"{gas, natural, hydrate}"
1.15579832490733,Humanities,2,"{genetic, diversity, gene}"
0.519250468463324,Humanities,1,"{glacier, mass, balance}"
0.543624555805072,Humanities,2,"{groundwater, recharge, aquifer}"
1.88487657980158,Humanities,2,"{growth, economic, relationship}"
3.76472208309434,Humanities,2,"{health, disease, human}"
1.17078979626108,Humanities,1,"{heat, wave, stress}"
0.558207844407455,Humanities,3,"{hydrogen, catalyst, cell}"
0.66713341980291,Humanities,1,"{ice, sheet, sea}"
1.64631367901211,Humanities,2,"{increase, concentration, effect}"
0.884987810602985,Humanities,2,"{lake, level, diatom}"
1.74651506209412,Humanities,1,"{land, cover, agricultural}"
0.36400714034619,Humanities,2,"{leaf, photosynthesis, photosynthetic}"
3.09178399276732,Humanities,2,"{management, resource, conservation}"
0.276181261467986,Humanities,1,"{methane, oxidation, source}"
3.69950233624727,Humanities,1,"{method, use, approach}"
1.6812066779923,Humanities,1,"{model, simulation, simulate}"
0.063094129376699,Humanities,1,"{n2o, denitrification, emission}"
0.589439607498016,Humanities,1,"{ocean, surface, deep}"
1.00659259951123,Humanities,3,"{oil, biodiesel, palm}"
1.31745118655374,Humanities,1,"{ozone, air, stratospheric}"
0.93478391725956,Humanities,1,"{pacific, sst, enso}"
1.23146369868836,Humanities,1,"{permafrost, thaw, layer}"
0.574617325134536,Humanities,2,"{plant, seed, stress}"
3.27056557889076,Humanities,3,"{policy, tax, sector}"
2.18392996941531,Humanities,2,"{population, size, habitat}"
1.18426546168858,Humanities,3,"{power, generation, electricity}"
0.55123920286596,Humanities,1,"{precipitation, annual, moisture}"
1.30862203250916,Humanities,2,"{process, membrane, solvent}"
2.39283459362352,Humanities,2,"{production, food, farm}"
0.566332748647816,Humanities,2,"{rainfall, monsoon, rain}"
0.86945044482756,Humanities,2,"{rate, litter, decomposition}"
4.18480328318975,Humanities,1,"{record, glacial, late}"
29.3194020324188,Humanities,2,"{research, social, issue}"
0.405020131446773,Humanities,2,"{rice, paddy, field}"
4.06766341035359,Humanities,2,"{risk, disaster, vulnerability}"
1.04400788444041,Humanities,2,"{river, basin, flow}"
0.482178812714401,Humanities,2,"{root, fine, litter}"
0.433472549836811,Humanities,2,"{runoff, catchment, hydrological}"
4.14233543805,Humanities,1,"{scale, spatial, variability}"
1.68479427144188,Humanities,2,"{scenario, future, project}"
1.9077130421169,Humanities,1,"{sea, level, rise}"
1.64717751407306,Humanities,2,"{sediment, erosion, core}"
4.99683171950539,Humanities,2,"{site, elevation, high}"
0.405764065735463,Humanities,1,"{snow, cover, winter}"
0.227717072455807,Humanities,3,"{soc, stock, soil}"
0.816856655844039,Humanities,2,"{soil, moisture, microbial}"
1.64636592120409,Humanities,1,"{solar, radiation, irradiance}"
1.15577414108798,Humanities,2,"{specie, distribution, habitat}"
0.811989022770732,Humanities,2,"{storage, reservoir, injection}"
2.31799434684422,Humanities,2,"{system, performance, design}"
0.899398215649753,Humanities,1,"{temperature, warm, air}"
0.714262009908319,Humanities,2,"{tree, ring, stand}"
0.967277108806818,Humanities,1,"{trend, station, significant}"
2.27745881788573,Humanities,1,"{uncertainty, estimate, projection}"
5.24197055369122,Humanities,2,"{urban, city, urbanization}"
0.834442480818247,Humanities,2,"{vegetation, ndvi, index}"
0.985290881099075,Humanities,3,"{vehicle, electric, transport}"
1.01901852510068,Humanities,3,"{waste, landfill, treatment}"
1.49041214275244,Humanities,2,"{water, resource, irrigation}"
1.22349621334126,Humanities,2,"{wetland, marsh, habitat}"
1.16791237890081,Humanities,1,"{wind, speed, turbine}"
1.92160550385893,Humanities,1,"{year, season, period}"
7.36156801887997,Medical and Health Sciences,2,"{adaptation, vulnerability, farmer}"
1.47919609200154,Medical and Health Sciences,2,"{adsorption, capacity, adsorbent}"
1.0171928722385,Medical and Health Sciences,1,"{aerosol, forcing, radiative}"
3.19985060354615,Medical and Health Sciences,1,"{arctic, warm, tundra}"
10.5175131907854,Medical and Health Sciences,2,"{area, region, distribution}"
0.908230834520418,Medical and Health Sciences,3,"{biochar, application, amendment}"
0.948213049352282,Medical and Health Sciences,2,"{biomass, aboveground, bioenergy}"
2.3996711596442,Medical and Health Sciences,2,"{building, design, construction}"
3.66275756828043,Medical and Health Sciences,1,"{cal, pollen, holocene}"
1.38331944507686,Medical and Health Sciences,3,"{carbon, low, sink}"
2.31387682848724,Medical and Health Sciences,3,"{cement, material, concrete}"
0.845269021822707,Medical and Health Sciences,1,"{ch4, oxidation, emission}"
7.9149475614405,Medical and Health Sciences,2,"{change, climatic, response}"
4.66561774867194,Medical and Health Sciences,2,"{china, province, chinese}"
6.42857752126602,Medical and Health Sciences,1,"{climate, future, global}"
0.590949294984543,Medical and Health Sciences,1,"{cloud, feedback, radiative}"
1.72536199059036,Medical and Health Sciences,1,"{co2, mol, concentration}"
0.872655208833342,Medical and Health Sciences,3,"{coal, combustion, technology}"
5.96865459983515,Medical and Health Sciences,2,"{community, microbial, composition}"
1.67052889758762,Medical and Health Sciences,2,"{coral, reef, bleaching}"
3.56563052099514,Medical and Health Sciences,3,"{cost, price, technology}"
11.1841088894083,Medical and Health Sciences,3,"{country, develop, international}"
1.79685033627363,Medical and Health Sciences,2,"{crop, yield, wheat}"
7.77400422842598,Medical and Health Sciences,1,"{data, use, satellite}"
10.3630411167077,Medical and Health Sciences,1,"{degree, day, latitude}"
1.02336935086745,Medical and Health Sciences,1,"{delta, isotope, value}"
2.29742007797213,Medical and Health Sciences,2,"{drought, stress, index}"
2.41013407206387,Medical and Health Sciences,2,"{ecosystem, terrestrial, net}"
4.45923349821937,Medical and Health Sciences,3,"{emission, ghg, reduction}"
2.75592463749006,Medical and Health Sciences,3,"{energy, consumption, demand}"
8.36958730285168,Medical and Health Sciences,2,"{environmental, impact, life}"
9.26483380226626,Medical and Health Sciences,2,"{extreme, event, weather}"
0.921301465549043,Medical and Health Sciences,2,"{fire, burn, wildfire}"
3.76145344231115,Medical and Health Sciences,2,"{flood, flooding, damage}"
0.863864695461182,Medical and Health Sciences,1,"{flux, measurement, surface}"
1.0650574337985,Medical and Health Sciences,2,"{forest, stand, tropical}"
2.04717337729676,Medical and Health Sciences,3,"{fuel, fossil, engine}"
1.71923891867496,Medical and Health Sciences,1,"{gas, natural, hydrate}"
6.3884738711119,Medical and Health Sciences,2,"{genetic, diversity, gene}"
0.556764662677236,Medical and Health Sciences,1,"{glacier, mass, balance}"
0.663918247274768,Medical and Health Sciences,2,"{groundwater, recharge, aquifer}"
4.67414724496022,Medical and Health Sciences,2,"{growth, economic, relationship}"
80.2897649105118,Medical and Health Sciences,2,"{health, disease, human}"
9.08136282655516,Medical and Health Sciences,1,"{heat, wave, stress}"
1.38068771138015,Medical and Health Sciences,3,"{hydrogen, catalyst, cell}"
0.403149947283465,Medical and Health Sciences,1,"{ice, sheet, sea}"
10.9526692070991,Medical and Health Sciences,2,"{increase, concentration, effect}"
0.873767676520487,Medical and Health Sciences,2,"{lake, level, diatom}"
2.17693456919037,Medical and Health Sciences,1,"{land, cover, agricultural}"
2.00933591901207,Medical and Health Sciences,2,"{leaf, photosynthesis, photosynthetic}"
4.52054721388204,Medical and Health Sciences,2,"{management, resource, conservation}"
1.83739893838642,Medical and Health Sciences,1,"{methane, oxidation, source}"
10.8679011624266,Medical and Health Sciences,1,"{method, use, approach}"
6.27263882375541,Medical and Health Sciences,1,"{model, simulation, simulate}"
0.71411565292024,Medical and Health Sciences,1,"{n2o, denitrification, emission}"
1.07167413692882,Medical and Health Sciences,1,"{ocean, surface, deep}"
2.0284270297937,Medical and Health Sciences,3,"{oil, biodiesel, palm}"
8.31283280144866,Medical and Health Sciences,1,"{ozone, air, stratospheric}"
3.04035337964966,Medical and Health Sciences,1,"{pacific, sst, enso}"
1.29384997485055,Medical and Health Sciences,1,"{permafrost, thaw, layer}"
2.36145904293169,Medical and Health Sciences,2,"{plant, seed, stress}"
6.27046808813879,Medical and Health Sciences,3,"{policy, tax, sector}"
13.5307704591074,Medical and Health Sciences,2,"{population, size, habitat}"
1.49411580592438,Medical and Health Sciences,3,"{power, generation, electricity}"
2.41746703618011,Medical and Health Sciences,1,"{precipitation, annual, moisture}"
2.35406470781913,Medical and Health Sciences,2,"{process, membrane, solvent}"
9.72862435044083,Medical and Health Sciences,2,"{production, food, farm}"
4.2507772386786,Medical and Health Sciences,2,"{rainfall, monsoon, rain}"
6.10297801305149,Medical and Health Sciences,2,"{rate, litter, decomposition}"
3.17009661736655,Medical and Health Sciences,1,"{record, glacial, late}"
24.2412500810048,Medical and Health Sciences,2,"{research, social, issue}"
1.4501909879011,Medical and Health Sciences,2,"{rice, paddy, field}"
25.9859360066727,Medical and Health Sciences,2,"{risk, disaster, vulnerability}"
1.36228813767725,Medical and Health Sciences,2,"{river, basin, flow}"
0.863383100122312,Medical and Health Sciences,2,"{root, fine, litter}"
0.573038807983944,Medical and Health Sciences,2,"{runoff, catchment, hydrological}"
8.54180504760238,Medical and Health Sciences,1,"{scale, spatial, variability}"
3.80550871830057,Medical and Health Sciences,2,"{scenario, future, project}"
3.06377894000496,Medical and Health Sciences,1,"{sea, level, rise}"
0.863539652605289,Medical and Health Sciences,2,"{sediment, erosion, core}"
