,WG,period,score,topic_id,topic_title,tpsum,share,tscore
976,2,AR4,4.1941719538909705,9221,"{ice, arctic, sheet}",15.783964670093214,0.26572360250133537,429.56716733779297
977,3,AR4,0.136026624310843,9221,"{ice, arctic, sheet}",15.783964670093214,0.008618026405531715,429.56716733779297
978,1,AR4,0.912836545029046,9134,"{genet, divers, gene}",5.8038551096765305,0.15728107056068835,848.6616807368249
979,2,AR4,4.46933149017053,9134,"{genet, divers, gene}",5.8038551096765305,0.7700625542355454,848.6616807368249
980,3,AR4,0.421687074476954,9134,"{genet, divers, gene}",5.8038551096765305,0.07265637520376626,848.6616807368249
981,1,AR4,4.27551682311939,9197,"{system, oper, integr}",11.7936836935674,0.36252598714779627,823.468844397184
982,2,AR4,4.9797442335428,9197,"{system, oper, integr}",11.7936836935674,0.4222382389531856,823.468844397184
983,3,AR4,2.53842263690521,9197,"{system, oper, integr}",11.7936836935674,0.21523577389901813,823.468844397184
984,1,AR4,3.337583157421661,9148,"{phenolog, flower, date}",13.469926366544875,0.24778035652156075,488.448821703379
985,2,AR4,9.481281012572481,9148,"{phenolog, flower, date}",13.469926366544875,0.7038851404652846,488.448821703379
986,3,AR4,0.651062196550735,9148,"{phenolog, flower, date}",13.469926366544875,0.04833450301315469,488.448821703379
987,1,AR4,1.1108356427326598,9205,"{urban, citi, area}",3.161823212269023,0.3513275626613828,305.57924955127004
988,2,AR4,1.59806528905043,9205,"{urban, citi, area}",3.161823212269023,0.5054252504850227,305.57924955127004
989,3,AR4,0.452922280485933,9205,"{urban, citi, area}",3.161823212269023,0.14324718685359447,305.57924955127004
990,1,AR4,1.40216037786349,9150,"{farm, farmer, agricultur}",4.918980102211,0.2850510367450444,400.364407108474
991,2,AR4,2.29173969861935,9150,"{farm, farmer, agricultur}",4.918980102211,0.4658973305440392,400.364407108474
992,3,AR4,1.2250800257281598,9150,"{farm, farmer, agricultur}",4.918980102211,0.24905163271091635,400.364407108474
993,1,AR4,2.52339256058697,9201,"{growth, econom, radial}",8.50868668900063,0.2965666327623764,582.188698889698
994,2,AR4,4.9635205931894015,9201,"{growth, econom, radial}",8.50868668900063,0.5833474394592358,582.188698889698
995,3,AR4,1.0217735352242598,9201,"{growth, econom, radial}",8.50868668900063,0.12008592777838785,582.188698889698
996,1,AR4,2.18110672963896,9143,"{coastal, wave, rise}",5.233631796779243,0.4167482188909821,376.278765746045
997,2,AR4,2.74748297284945,9143,"{coastal, wave, rise}",5.233631796779243,0.524966806900753,376.278765746045
998,3,AR4,0.305042094290833,9143,"{coastal, wave, rise}",5.233631796779243,0.05828497420826485,376.278765746045
999,1,AR4,18.7427989605489,9203,"{sst, pacif, tropic}",25.54491196547732,0.7337194579444573,677.63979730729
1000,2,AR4,6.20992470133204,9203,"{sst, pacif, tropic}",25.54491196547732,0.243098301130356,677.63979730729
1001,3,AR4,0.59218830359638,9203,"{sst, pacif, tropic}",25.54491196547732,0.023182240925186712,677.63979730729
